feature,perm_importance_mean,perm_importance_std
weighted_avg_score_module_z,0.046099758778869314,0.0024491223179651392
studied_credits,0.02767886969188347,0.0018520002895260873
max_activity_day,0.020233555431351025,0.0027531452637961826
code_module,0.016653014957570343,0.001849541826014465
first_21d_active_days_module_z,0.009209187075229951,0.001919661667229469
first_21d_clicks,0.008584685832501316,0.0030023016011486757
tma_avg_score,0.006445712335972731,0.002327513845964351
module_presentation_length,0.00583076367061266,0.0016274657381582787
date_registration,0.005253297752849028,0.0011730045489542003
highest_education,0.004659984166825915,0.0007192182561263005
region,0.004312847087775906,0.0010335642339006198
avg_submission_delay,0.004245785035967819,0.0008710767061922343
weighted_avg_score,0.003991493056678408,0.0006693226188415162
first_21d_clicks_module_z,0.003673033346491139,0.0005492503051044982
engagement_accel_14to21,0.0036617764425821097,0.0006979841584170218
num_of_prev_attempts,0.0035274300432168505,0.00044442406542731646
zero_assessment,0.0021517653114585646,0.0015040692284225368
disability,0.002081453959721402,0.0007216973965283916
active_day_growth_14to21,0.0019013700652687037,0.0006539671469137498
first_21d_sites,0.0013450985669962944,0.0004708244490236442
