feature,feature_label,mean_abs_shap
num__weighted_avg_score_module_z,Weighted Avg Score Module Z,0.2936398544951538
num__max_activity_day,Max Activity Day,0.23294208548294454
num__first_21d_active_days_module_z,First 21D Active Days Module Z,0.19939665089557468
num__studied_credits,Studied Credits,0.19164955346805587
num__first_21d_clicks,First 21D Clicks,0.14174304190181983
cat__highest_education_Lower Than A Level,Highest Education Lower Than A Level,0.08754774933880208
num__tma_avg_score,Tma Avg Score,0.0864494670138306
num__module_presentation_length,Module Presentation Length,0.08181733261901084
num__date_registration,Date Registration,0.08032289768800567
cat__code_module_CCC,Code Module Ccc,0.07731719456151327
num__avg_submission_delay,Avg Submission Delay,0.07511969550795998
num__first_21d_clicks_module_z,First 21D Clicks Module Z,0.06534209997292041
num__weighted_avg_score,Weighted Avg Score,0.05458298210706745
num__is_low_imd,Is Low Imd,0.042894538585596116
num__pre_start_sites,Pre Start Sites,0.042551834300545946
num__engagement_accel_14to21,Engagement Accel 14To21,0.040391960168353315
cat__disability_N,Disability N,0.03757124225277279
num__tma_avg_delay,Tma Avg Delay,0.036764117445340874
cat__code_module_GGG,Code Module Ggg,0.03656445585448789
num__first_21d_sites,First 21D Sites,0.03637228362402632
num__active_day_growth_14to21,Active Day Growth 14To21,0.033513271612225864
num__engagement_accel_7to14,Engagement Accel 7To14,0.032702281931815035
num__score_per_active_day,Score Per Active Day,0.02799827319435312
num__early_or_ontime_count,Early Or Ontime Count,0.026658809467775962
num__zero_assessment,Zero Assessment,0.024770597643568894
num__zero_engagement_21d,Zero Engagement 21D,0.023812423001849357
cat__gender_F,Gender F,0.022183934005050233
num__num_of_prev_attempts,Num Of Prev Attempts,0.021635040621808873
num__pre_start_avg_clicks_per_student_site_day,Pre Start Avg Clicks Per Student Site Day,0.020909789373179846
cat__code_module_DDD,Code Module Ddd,0.019941132070504464
num__first_7d_avg_clicks_per_student_site_day,First 7D Avg Clicks Per Student Site Day,0.01872135066422479
num__first_7d_clicks,First 7D Clicks,0.01863787021890589
cat__region_Scotland,Region Scotland,0.017471306231165124
num__first_14d_avg_clicks_per_student_site_day,First 14D Avg Clicks Per Student Site Day,0.01482493115641474
num__min_activity_day,Min Activity Day,0.014294780091490824
num__first_assessment_day,First Assessment Day,0.013872384460271175
num__first_21d_avg_clicks_per_student_site_day,First 21D Avg Clicks Per Student Site Day,0.012098840163652667
cat__highest_education_A Level or Equivalent,Highest Education A Level Or Equivalent,0.012050144725441385
cat__region_Wales,Region Wales,0.01156623775044522
num__submission_rate,Submission Rate,0.011204966781859099
num__engagement_intensity_21d,Engagement Intensity 21D,0.01114795453497616
num__assessment_density_21d,Assessment Density 21D,0.010694227202955282
cat__age_band_0-35,Age Band 0-35,0.010551252854254647
cat__code_module_BBB,Code Module Bbb,0.010207251165039
num__first_14d_sites,First 14D Sites,0.010003110452347091
cat__code_module_AAA,Code Module Aaa,0.00947088545520815
num__active_day_growth_7to14,Active Day Growth 7To14,0.009457629096126453
cat__region_East Midlands Region,Region East Midlands Region,0.009248100176274969
num__pre_start_clicks,Pre Start Clicks,0.008915710721827435
cat__imd_band_90-100%,Imd Band 90-100%,0.0079303129675992
num__first_7d_sites,First 7D Sites,0.007788939408568403
num__first_14d_clicks,First 14D Clicks,0.007381193589003981
cat__disability_Y,Disability Y,0.007262457963391089
